event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_mass
1005,1,0,165.903625
1006,0,,
1007,2,0,248.943106
1008,0,,
1009,1,1,157.781322
1010,1,0,159.791589
1011,1,1,158.124381
1012,1,0,205.421724
1013,0,,
1014,1,1,174.141696
1015,0,,
1016,0,,
1017,0,,
1018,0,,
1019,0,,
1020,0,,
1021,1,0,149.136917
1022,1,0,162.430131
1023,0,,
1024,0,,
1025,0,,
1026,0,,
1027,1,0,152.606173
1028,0,,
1029,0,,
1030,0,,
1031,1,0,225.965528
1032,0,,
1033,0,,
1034,2,0,148.032166
1035,0,,
1036,0,,
1037,0,,
1038,1,1,153.763684
1039,0,,
1040,0,,
1041,0,,
1042,1,0,158.019906
1043,0,,
1044,1,0,156.377056
1045,1,0,141.912874
1046,1,0,193.839959
1047,0,,
1048,2,0,176.089125
1049,0,,
1050,1,1,155.899733
1051,2,1,165.189565
1052,0,,
1053,1,1,140.363165
1054,1,0,168.979238
1055,1,1,173.658299
1056,0,,
1057,0,,
1058,1,0,184.847109
1059,0,,
1060,0,,
1061,0,,
1062,1,0,166.80938
1063,0,,
1064,0,,
1065,1,1,171.807733
1066,0,,
1067,0,,
1068,1,1,197.150675
1069,0,,
1070,0,,
1071,1,0,177.746544
1072,1,0,151.078595
1073,0,,
1074,0,,
1075,0,,
1076,0,,
1077,0,,
1078,0,,
1079,1,1,157.118274
1080,0,,
1081,0,,
1082,0,,
1083,1,0,183.717456
1084,0,,
1085,2,0,175.226899
1086,0,,
1087,0,,
1088,0,,
1089,1,1,162.900505
1090,1,1,160.327893
1091,1,1,164.779462
1092,0,,
1093,1,0,135.016139
1094,0,,
1095,0,,
1096,1,1,130.609186
1097,0,,
1098,1,1,174.655609
1099,2,0,168.066485
1100,1,0,138.421711
1101,1,0,162.503752
1102,0,,
1103,0,,
1104,0,,
1105,1,1,156.051859
1106,1,0,154.86984
1107,0,,
1108,0,,
1109,0,,
1110,0,,
1111,0,,
1112,0,,
1113,0,,
1114,1,0,147.493497
1115,1,1,146.717314
1116,1,0,171.03982
1117,0,,
1118,1,1,145.824454
1119,0,,
1120,0,,
1121,1,1,175.641466
1122,1,0,141.191435
1123,1,1,157.328023
1124,0,,
1125,0,,
1126,1,1,169.534068
1127,0,,
1128,1,1,172.832732
1129,1,1,170.367097
1130,0,,
1131,1,0,210.150637
1132,1,1,148.583332
1133,1,0,168.042368
1134,1,1,148.824036
1135,0,,
1136,0,,
1137,1,1,185.428534
1138,1,1,161.738899
1139,0,,
1140,0,,
1141,2,0,150.629211
1142,0,,
1143,0,,
1144,0,,
1145,1,1,157.050092
1146,1,0,162.193195
1147,1,0,138.573595
1148,0,,
1149,0,,
1150,0,,
1151,0,,
1152,1,1,164.217096
1153,0,,
1154,0,,
1155,0,,
1156,0,,
1157,0,,
1158,1,1,203.220559
1159,0,,
1160,0,,
1161,0,,
1162,0,,
1163,0,,
1164,0,,
1165,0,,
1166,0,,
1167,0,,
1168,0,,
1169,0,,
1170,0,,
1171,0,,
1172,1,0,148.190942
1173,1,1,162.524439
1174,0,,
1175,0,,
1176,0,,
1177,1,0,286.421213
1178,0,,
1179,0,,
1180,1,0,290.379649
1181,0,,
1182,0,,
1183,1,1,159.317905
1184,0,,
1185,0,,
1186,0,,
1187,0,,
1188,2,0,153.990255
1189,0,,
1190,1,0,177.744163
1191,0,,
1192,0,,
1193,1,1,157.730101
1194,0,,
1195,0,,
1196,1,1,146.95607
1197,0,,
1198,0,,
1199,0,,
1200,1,1,170.386231
1201,1,0,220.12976
1202,0,,
1203,0,,
1204,0,,
1205,1,1,211.267264
1206,2,0,163.357535
1207,1,0,156.429495
1208,0,,
1209,0,,
1210,0,,
1211,1,1,169.959052
1212,2,1,165.993237
1213,0,,
1214,1,0,139.683762
1215,0,,
1216,0,,
1217,1,1,171.540445
1218,0,,
1219,0,,
1220,0,,
1221,0,,
1222,0,,
1223,1,1,142.203393
1224,0,,
1225,0,,
1226,0,,
1227,0,,
1228,0,,
1229,1,0,164.575515
1230,1,1,139.41049
1231,0,,
1232,0,,
1233,0,,
1234,0,,
1235,0,,
1236,1,0,194.067938
1237,0,,
1238,1,0,172.401269
1239,1,0,186.418284
1240,0,,
1241,1,0,146.178123
1242,1,1,198.347322
1243,0,,
1244,0,,
1245,0,,
1246,1,0,166.146782
1247,0,,
1248,0,,
1249,0,,
1250,1,0,166.297372
1251,0,,
1252,0,,
1253,0,,
1254,0,,
1255,0,,
1256,0,,
1257,0,,
1258,0,,
1259,0,,
1260,0,,
1261,1,0,153.246528
1262,0,,
1263,0,,
1264,1,1,131.734806
1265,0,,
1266,1,0,204.698344
1267,0,,
1268,0,,
1269,0,,
1270,0,,
1271,0,,
1272,0,,
1273,0,,
1274,0,,
1275,0,,
1276,1,0,187.42614
1277,0,,
1278,1,1,162.51129
1279,0,,
1280,0,,
1281,0,,
1282,0,,
1283,0,,
1284,1,0,161.463356
1285,1,0,149.374851
1286,1,1,161.671232
1287,0,,
1288,0,,
1289,1,1,262.961989
1290,1,1,165.229282
1291,0,,
1292,1,1,154.478221
1293,1,1,169.139719
1294,0,,
1295,0,,
1296,0,,
1297,0,,
1298,0,,
1299,0,,
1300,0,,
1301,0,,
1302,0,,
1303,0,,
1304,0,,
1305,0,,
1306,0,,
1307,0,,
1308,1,0,221.757151
1309,1,0,137.33459
1310,0,,
1311,1,0,287.520533
1312,0,,
1313,0,,
1314,0,,
1315,0,,
1316,0,,
1317,0,,
1318,1,1,169.842137
1319,2,1,158.564236
1320,2,1,145.735701
1321,1,1,154.922128
1322,0,,
1323,0,,
1324,1,1,172.216007
1325,1,0,216.66605
1326,0,,
1327,0,,
1328,0,,
1329,0,,
1330,0,,
1331,0,,
1332,0,,
1333,1,0,151.260389
1334,1,1,160.156442
1335,0,,
1336,0,,
1337,0,,
1338,0,,
1339,1,0,178.008766
1340,0,,
1341,1,0,194.367626
1342,0,,
1343,2,0,144.561306
1344,0,,
1345,0,,
1346,1,0,175.061501
1347,0,,
1348,1,1,205.312124
1349,0,,
1350,0,,
1351,0,,
1352,0,,
1353,1,0,176.115586
1354,2,1,198.746629
1355,0,,
1356,0,,
1357,1,0,168.749669
1358,0,,
1359,0,,
1360,0,,
1361,0,,
1362,0,,
1363,1,1,159.363321
1364,0,,
1365,0,,
1366,0,,
1367,2,1,163.785482
1368,1,1,154.369536
1369,1,0,152.757618
1370,0,,
1371,1,0,170.474791
1372,0,,
1373,0,,
1374,0,,
1375,0,,
1376,1,0,168.630844
1377,0,,
1378,0,,
1379,0,,
1380,0,,
1381,0,,
1382,0,,
1383,1,1,140.638331
1384,1,1,159.116177
1385,2,1,171.037923
1386,0,,
1387,0,,
1388,1,1,176.148252
1389,1,0,152.769709
1390,0,,
1391,2,0,152.509567
1392,0,,
1393,2,0,168.169236
1394,0,,
1395,1,1,176.878697
1396,0,,
1397,0,,
1398,2,1,163.85677
1399,0,,
1400,0,,
1401,0,,
1402,0,,
1403,1,0,150.812661
1404,1,0,181.364009
1405,1,1,163.255862
1406,0,,
1407,1,1,148.558257
1408,0,,
1409,0,,
1410,1,0,245.880376
1411,0,,
1412,1,1,243.143089
1413,0,,
1414,0,,
1415,0,,
1416,0,,
1417,1,0,169.733553
1418,0,,
1419,0,,
1420,1,0,246.381133
1421,1,1,220.543468
1422,0,,
1423,0,,
1424,1,0,161.542819
1425,0,,
1426,0,,
1427,0,,
1428,0,,
1429,0,,
1430,0,,
1431,0,,
1432,2,1,144.027887
1433,0,,
1434,1,1,137.640137
1435,0,,
1436,0,,
1437,1,0,141.06076
1438,0,,
1439,0,,
1440,0,,
1441,0,,
1442,0,,
1443,0,,
1444,0,,
1445,1,0,166.816064
1446,1,1,140.570151
1447,0,,
1448,1,0,208.471125
1449,0,,
1450,2,0,169.331813
1451,0,,
1452,1,0,190.052993
1453,0,,
1454,0,,
1455,0,,
1456,0,,
1457,1,0,161.894269
1458,0,,
1459,1,1,150.655305
1460,0,,
1461,1,1,154.194538
1462,1,0,138.534127
1463,0,,
1464,0,,
1465,0,,
1466,1,0,148.36888
1467,0,,
1468,1,1,168.749848
1469,0,,
1470,0,,
1471,0,,
1472,0,,
1473,1,0,172.689298
1474,0,,
1475,1,1,210.7163
1476,2,1,145.037871
1477,1,0,141.353275
1478,1,0,175.16869
1479,1,1,168.061407
1480,1,0,158.091195
1481,0,,
1482,1,0,177.150829
1483,1,0,160.727574
1484,0,,
1485,0,,
1486,0,,
1487,0,,
1488,1,1,166.450564
1489,0,,
1490,0,,
1491,1,1,173.510705
1492,0,,
1493,0,,
1494,0,,
1495,0,,
1496,1,0,156.696469
1497,0,,
1498,0,,
1499,0,,
1500,0,,
1501,1,0,113.059393
1502,0,,
1503,0,,
1504,1,0,158.286431
1505,0,,
1506,0,,
1507,0,,
1508,1,1,133.723192
1509,0,,
1510,0,,
1511,1,0,176.48122
1512,1,0,185.239747
1513,1,0,143.874314
1514,0,,
1515,1,0,338.906156
1516,1,1,155.774726
1517,0,,
1518,0,,
1519,1,0,176.371503
1520,1,0,150.218127
1521,1,0,167.152127
1522,0,,
1523,0,,
1524,0,,
1525,0,,
1526,2,0,172.780237
1527,0,,
1528,1,1,157.702124
1529,0,,
1530,0,,
1531,0,,
1532,1,0,151.13608
1533,1,0,233.248546
1534,0,,
1535,0,,
1536,0,,
1537,0,,
1538,1,0,160.252653
1539,1,0,171.741547
1540,1,1,121.215023
1541,0,,
1542,1,1,173.947164
1543,0,,
1544,0,,
1545,0,,
1546,0,,
1547,0,,
1548,1,1,156.277503
1549,1,0,148.478718
1550,1,1,171.981886
1551,1,1,173.471725
1552,0,,
1553,1,1,124.618335
1554,0,,
1555,0,,
1556,0,,
1557,0,,
1558,1,1,166.862532
1559,1,1,174.857318
1560,0,,
1561,1,0,141.801438
1562,0,,
1563,1,0,164.464575
1564,1,1,243.395443
1565,0,,
1566,0,,
1567,0,,
1568,0,,
1569,0,,
1570,0,,
1571,0,,
1572,0,,
1573,1,0,167.121134
1574,1,0,398.394364
1575,1,1,170.327012
1576,0,,
1577,1,0,166.711035
1578,0,,
1579,0,,
1580,1,1,149.987202
1581,0,,
1582,1,0,178.827513
1583,0,,
1584,0,,
1585,0,,
1586,0,,
1587,1,0,163.513091
1588,0,,
1589,0,,
1590,1,1,151.651958
1591,0,,
1592,0,,
1593,0,,
1594,0,,
1595,0,,
1596,1,0,173.204216
1597,1,1,173.432371
1598,0,,
1599,1,1,151.64002
1600,1,1,183.090196
1601,0,,
1602,0,,
1603,0,,
1604,1,1,169.060346
1605,0,,
1606,0,,
1607,0,,
1608,0,,
1609,0,,
1610,1,1,194.453434
1611,1,0,161.765902
1612,0,,
1613,0,,
1614,1,0,172.324889
1615,0,,
1616,0,,
1617,0,,
1618,1,1,191.454914
1619,0,,
1620,1,0,214.250747
1621,0,,
1622,0,,
1623,0,,
1624,0,,
1625,0,,
1626,0,,
1627,0,,
1628,0,,
1629,1,1,173.140276
1630,0,,
1631,1,1,169.698185
1632,0,,
1633,1,0,171.569393
1634,0,,
1635,2,1,161.683614
