event_index,n_gen_triplet,leading_truth_triplet_slot,leading_truth_triplet_pt,triplet_jet_0_index,triplet_jet_0_pt,triplet_jet_0_eta,triplet_jet_0_phi,triplet_jet_0_m,triplet_jet_0_px,triplet_jet_0_py,triplet_jet_0_pz,triplet_jet_0_E,triplet_jet_1_index,triplet_jet_1_pt,triplet_jet_1_eta,triplet_jet_1_phi,triplet_jet_1_m,triplet_jet_1_px,triplet_jet_1_py,triplet_jet_1_pz,triplet_jet_1_E,triplet_jet_2_index,triplet_jet_2_pt,triplet_jet_2_eta,triplet_jet_2_phi,triplet_jet_2_m,triplet_jet_2_px,triplet_jet_2_py,triplet_jet_2_pz,triplet_jet_2_E
74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,1,51.7685362,4,42.1751213,1.30389953,-2.16194677,8.34280968,-23.5048955,-35.018006,71.9541732,83.8197255,2,59.9356728,0.412668705,1.1474402,10.4122438,24.6229288,54.64427,25.4415808,65.9391668,3,46.1423149,0.27667886,0.0338567533,6.15068007,46.1158714,1.56193053,12.9301108,48.3128539
76,1,1,102.510402,1,82.8227539,-1.35169828,1.79604244,10.5085888,-18.4981529,80.7305822,-149.295539,171.053199,2,31.9346962,-0.716279209,2.35426784,7.53109646,-22.5376921,22.6247045,-24.8809056,41.1776845,3,29.2349567,-0.0405461974,-0.0523948446,6.5098443,29.1948377,-1.53106027,-1.18569114,29.974433
77,1,0,34.0298622,0,56.813694,-1.04758036,2.53255033,8.45214939,-46.5983797,32.5021051,-71.0159669,91.3372991,3,25.6985168,0.330901235,0.644607306,5.76896,20.5417443,15.4418428,8.6597086,27.725173,2,52.6952705,-1.01541209,-0.428209215,6.31328344,47.9374576,-21.8813092,-63.1881537,82.5190394
78,1,0,87.7117016,3,34.8748207,1.07885814,-0.827134788,6.13194609,23.6098113,-25.6676826,45.3605551,57.5450592,2,46.7665558,-0.723129928,2.21836424,7.44388342,-28.2118533,37.2988213,-36.8436835,59.9998263,1,75.4648209,0.447990268,1.72645509,5.54740381,-11.6993816,74.5524222,34.9497419,83.349849
79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,1,230.638634,4,36.6085663,-0.280337065,2.98412728,5.83947611,-36.1556423,5.74078851,-10.3976901,38.5019294,0,184.671341,-0.876341462,-1.65373886,25.9255447,-15.2995519,-184.036485,-183.35946,261.52692,3,54.3115807,-0.395188421,-1.18236542,8.04539776,20.5697878,-50.2656107,-22.0263546,59.1577257
82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,0,141.740281,2,36.6422729,-2.13310504,2.70936561,6.33245516,-33.2724702,15.3492311,-152.478887,156.947657,0,88.5427246,-1.1602447,-2.41024232,18.0372334,-65.8999793,-59.1354953,-127.382189,156.177393,1,57.1005478,-0.555334568,-1.57760394,6.68062592,-0.388715223,-57.0992247,-33.3650964,66.4705422
84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,1,101.315669,3,28.3418407,0.199632436,-1.72433543,6.04337597,-4.33450346,-28.0084276,5.69560682,29.5334093,1,67.6740036,0.132118285,1.18712413,7.46159697,25.3322878,62.7538522,8.96700713,68.6720715,2,61.2578583,-1.00505733,1.23754919,8.69387913,20.038257,57.8877661,-72.4692795,95.2885366
86,1,0,123.678924,4,29.592577,1.32311022,0.624923825,9.9968462,23.9998074,17.312708,51.6209456,60.3355581,3,50.8554306,-0.891223311,-0.144050747,10.3615046,50.3287016,-7.30045337,-51.5663055,73.1622817,0,93.0699387,-0.015292773,-1.36452568,16.740242,19.0617509,-91.0969985,-1.42335293,94.5741779
87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2,1,131.946028,2,76.7962036,-1.12636125,-1.74585581,6.89855385,-13.3753421,-75.6224643,-105.98651,131.066347,7,38.4587784,0.142945051,0.67317909,10.6100454,30.0687474,23.9780747,5.51623315,40.2750484,1,78.3577271,-0.417363554,-1.05104816,16.9147434,38.9172723,-68.0101412,-33.6614177,86.9432745
89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2,1,193.144615,3,74.0860748,1.75025272,0.294961333,13.2457819,70.8865479,21.5370334,206.786354,220.056341,0,119.447693,2.16272569,1.88763535,14.4440355,-37.2156587,113.502185,512.418269,526.354314,4,59.470314,1.33155072,1.84235728,6.96189928,-15.95205,57.2909273,104.752314,120.657505
91,1,1,42.1316033,1,94.2770004,-2.08481288,-2.20645189,8.24057007,-55.9727421,-75.8630671,-373.278278,385.087955,2,44.1592903,-1.36143076,-1.93243182,9.22631931,-15.6237517,-41.3030423,-80.4908608,92.2710494,0,178.633911,0.0502598584,0.969859064,20.0240021,101.002433,147.338328,8.98189542,179.976969
92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1,1,101.135853,0,111.558411,0.322113603,-2.71428037,14.6740026,-101.527401,-46.2327349,36.5591234,118.309657,3,29.6622696,1.19171345,2.85623717,3.55135417,-28.4627762,8.34988661,44.3305267,53.4570664,2,36.3470459,0.133771047,0.575848758,2.26677108,30.4853729,19.7926699,4.87669658,36.7427294
98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,0,74.1948465,2,87.5409393,0.0115888547,-2.93618155,25.1245594,-85.7005849,-17.8556941,1.01452194,91.0806719,0,127.705292,0.853793621,-0.511665165,23.1941833,111.350126,-62.5283207,122.772221,178.660656,1,106.629517,-0.138041481,2.64436722,28.4334106,-93.7176823,50.8610838,-14.7660881,111.338897
106,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2,1,38.660208,4,50.6103249,-2.46030498,-2.26528621,6.14376259,-32.3902818,-38.8879753,-294.121216,298.507019,0,66.318428,-2.33052301,2.07003808,9.50858498,-31.7506091,58.2239875,-337.762194,344.34263,6,29.8671093,-2.0619626,-0.0510656349,5.93254614,29.8281755,-1.52452012,-115.498791,119.445427
108,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,1,136.440955,0,129.962494,-0.62852937,-2.79076362,16.957859,-122.046233,-44.6650504,-87.1707647,157.405721,2,43.7718086,-0.497124195,-0.622125089,7.05371809,35.5708043,-25.5086085,-22.6674335,49.7949667,3,37.5692596,-0.978488624,2.86376643,7.55945206,-36.1286252,10.3039659,-42.9144923,57.5347567
111,1,1,84.5215802,1,89.7303925,-2.01677537,2.26505041,22.0012131,-57.410614,68.9606027,-331.148751,343.79513,0,111.46534,-1.65942836,-1.10937452,9.96328735,49.6267845,-99.8083374,-282.344913,303.714404,2,53.8242493,-1.74042892,-2.15273356,7.44309759,-29.5841398,-44.9647471,-148.671795,158.290089
112,1,1,182.684309,3,47.4814453,1.10702419,-0.578113079,5.39533472,39.7654843,-25.9459805,63.9765238,79.8535715,1,119.120224,0.18949075,0.717883348,10.4559231,89.7213207,78.3563167,22.7075056,121.715179,2,66.3424225,0.707075357,1.41984892,7.52458715,9.97623082,65.5880465,50.9167168,83.9669487
113,1,0,52.1274639,1,45.727993,-1.4580003,-1.60262632,11.1817656,-1.45527611,-45.7048303,-92.9342891,104.177077,2,35.1114426,-0.322587997,1.54806125,12.3624678,0.798192519,35.1023687,-11.5240001,38.9672502,0,47.9432068,-0.025185952,-0.366899669,7.15982151,44.7522983,-17.1983394,-1.20762297,48.4899214
114,1,0,276.487717,2,85.0973282,1.29127538,-3.10651064,9.70852566,-85.0449669,-2.98477335,143.070001,166.747821,1,169.276505,0.829523146,-2.55358529,11.4021673,-140.846119,-93.8983806,157.085901,231.215321,4,42.6408997,0.503259957,-1.91081369,12.2338247,-14.2208876,-40.1996602,22.3768394,49.6853674
115,1,0,100.983699,4,35.8456154,1.22258973,-0.442516804,7.60703659,32.3928507,-15.3496372,55.5876673,66.5790049,3,44.3450279,1.23503304,2.39925933,5.70106316,-32.6775503,29.9776451,69.7916895,82.88464,0,86.7136917,0.178175151,1.83070016,13.3106928,-22.2843448,83.8013861,15.5321031,89.0936872
116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,0,105.010904,2,53.7727585,-0.355630785,-0.282625467,9.41847038,51.6394084,-14.9960346,-19.5289016,57.9792647,4,37.5234108,0.748522401,-1.20532548,3.77407193,13.4104573,-35.0451993,30.7843791,48.681906,3,41.6946068,1.86833334,0.53275454,5.43829441,35.9162049,21.1770267,131.819811,138.363571
118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2,1,172.279574,0,126.993523,-1.28878748,-2.69494748,10.4105434,-114.535619,-54.8538676,-212.89065,248.109175,6,32.3510437,-1.73758376,1.88538146,4.91906548,-10.0101244,30.7634107,-89.0890944,94.9086613,2,57.3818817,-0.515672684,2.5473907,13.1642199,-47.5463717,32.1251131,-30.9192489,66.4979472
121,1,1,210.124455,2,66.154007,-0.372943223,-2.75454569,7.78323793,-61.2604452,-24.970192,-25.2475961,71.2346302,0,127.48568,-0.163632035,2.45236897,5.71400404,-98.3857907,81.0730208,-20.9539585,129.32253,1,69.4281693,-0.0825819001,1.7055397,15.0069447,-9.3267038,68.798861,-5.74002923,71.2630831
122,2,1,159.774075,3,70.3719406,0.398190886,-2.15524912,8.0038271,-38.8272317,-58.6911928,28.7678532,76.445148,2,74.1230011,-0.123706982,-3.03749871,11.2562561,-73.7217819,-7.70182878,-9.19293816,75.5343148,1,76.6954193,-0.295060426,2.23234344,12.1988544,-47.1169352,60.5159629,-22.959576,80.9823532
123,1,1,282.493987,2,104.109215,-0.898220479,-2.90056825,23.091795,-101.09983,-24.8506142,-106.604519,150.786217,0,126.755096,-1.07610798,2.40062642,16.3119812,-93.5220263,85.5598332,-164.294965,208.148435,1,111.94722,-1.28772962,1.86667597,10.8849173,-32.6417254,107.082668,-187.436121,218.59314
124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1,0,92.5177359,2,37.9252205,1.97450054,-2.77352333,6.88862133,-35.3851322,-13.6460532,133.955491,139.390993,0,103.727798,2.08078241,0.61459142,6.45809555,84.7465566,59.8120165,408.993609,421.99163,3,37.2757454,2.3191216,1.78005481,10.211874,-7.74346258,36.4625833,187.653184,191.591965
127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,1,35.4070119,2,50.3687439,-0.344598919,1.10200584,5.80216932,22.7569809,44.9347325,-17.7025798,53.7034157,3,50.2662926,0.371383607,-1.69200683,9.25026894,-6.07789416,-49.8974886,19.1001811,54.5626664,1,52.7126884,0.335216761,2.93847942,7.90794849,-51.6290909,10.633179,18.0029748,56.2607347
