event_index,n_gen_triplet,leading_truth_triplet_slot,m_jet1jet2,m_jet2jet3
585,0,,,
586,0,,,
587,0,,,
588,1,1,98.5295424,78.0642506
589,0,,,
590,1,0,79.8552283,84.2531057
591,0,,,
592,2,1,89.2682438,63.858416
593,1,0,96.8014677,76.2263693
594,0,,,
595,0,,,
596,0,,,
597,2,1,115.449913,74.2874252
598,1,1,111.597546,45.8869471
599,1,1,120.579924,64.1123521
600,0,,,
601,0,,,
602,0,,,
603,1,0,80.71136,59.1150404
604,0,,,
605,1,0,103.643652,73.1544579
606,0,,,
607,0,,,
608,1,0,71.721151,83.3055323
609,0,,,
610,1,1,105.289537,70.2113381
611,0,,,
612,2,1,129.229124,72.5758616
613,0,,,
614,0,,,
615,2,0,57.0328905,79.4632073
616,0,,,
617,0,,,
618,0,,,
619,0,,,
620,0,,,
621,0,,,
622,2,1,69.6582635,97.8243749
623,0,,,
624,0,,,
625,0,,,
626,0,,,
627,0,,,
628,0,,,
629,0,,,
630,1,0,53.0121374,78.457835
631,0,,,
632,0,,,
633,0,,,
634,0,,,
635,1,0,76.7176135,45.4573313
636,0,,,
637,1,0,84.9762052,108.086633
638,0,,,
639,0,,,
640,0,,,
641,0,,,
642,1,1,112.05104,33.5430182
643,0,,,
644,1,1,132.241896,78.938578
645,0,,,
646,0,,,
647,2,0,103.951646,116.906725
648,2,1,126.217411,113.679699
649,1,0,84.3926863,114.061873
650,1,1,65.3357231,88.3667542
651,1,1,46.4321797,94.5900842
652,0,,,
653,0,,,
654,0,,,
655,1,0,100.891139,81.3807742
656,1,0,135.919098,111.248014
657,0,,,
658,0,,,
659,0,,,
660,1,1,92.3782238,82.928171
661,2,0,115.331828,79.7209616
662,1,1,60.5400409,99.1372869
663,0,,,
664,0,,,
665,1,0,124.096162,44.3540283
666,1,1,107.512071,79.9412806
667,1,1,118.207115,76.4267093
668,0,,,
669,2,1,111.005784,95.8201866
670,1,0,129.199365,88.1997652
671,0,,,
672,1,0,88.234677,73.7866182
673,1,0,61.6971459,126.450688
674,0,,,
675,1,1,90.1776338,115.524065
676,0,,,
677,0,,,
678,0,,,
679,0,,,
680,0,,,
681,0,,,
682,0,,,
683,0,,,
684,1,1,74.0930194,92.0706147
685,1,1,126.268636,75.8696935
686,1,1,158.380766,142.3193
687,2,0,77.9142377,59.756409
688,1,1,112.540245,88.0757852
689,1,1,154.309116,77.4792711
690,1,1,56.8574876,80.1305561
691,0,,,
692,0,,,
693,0,,,
694,1,1,85.9487001,112.649192
695,0,,,
696,0,,,
697,1,0,132.89834,68.7780723
698,1,1,82.4486838,100.444818
699,1,0,63.3538659,86.5950996
700,0,,,
701,0,,,
702,0,,,
703,0,,,
704,1,0,108.679716,81.3664978
705,0,,,
706,0,,,
707,1,0,93.1496281,86.3842313
708,0,,,
709,2,1,116.210553,91.8370296
710,0,,,
711,1,1,103.534724,103.679536
712,0,,,
713,0,,,
714,2,0,125.567277,79.8272685
715,0,,,
716,0,,,
717,0,,,
718,0,,,
719,0,,,
720,1,1,125.622767,84.5962352
721,0,,,
722,1,1,107.18583,70.9918418
723,1,1,110.905783,79.5249376
724,1,0,67.980512,76.4198179
725,1,0,79.3790892,46.9120221
726,2,1,73.2421597,77.8311755
727,0,,,
728,0,,,
729,0,,,
730,0,,,
731,1,0,111.075721,73.9221218
732,0,,,
733,0,,,
734,0,,,
735,1,1,102.935257,90.2575993
736,0,,,
737,0,,,
738,0,,,
739,1,1,91.1228083,102.052362
740,0,,,
741,0,,,
742,1,0,84.3425918,72.1477993
743,0,,,
744,1,0,106.547007,84.2948779
745,1,1,68.9313228,45.1493968
746,0,,,
747,0,,,
748,1,0,79.0223391,86.2966172
749,0,,,
750,2,0,120.763091,75.3019446
751,1,0,136.131952,88.5257745
752,0,,,
753,1,1,91.5643928,74.3537022
754,1,0,125.724188,70.732901
755,0,,,
756,0,,,
757,0,,,
758,1,1,82.2546644,123.690719
759,0,,,
760,0,,,
761,1,1,181.523354,78.8287639
762,0,,,
763,0,,,
764,0,,,
765,1,0,154.742964,88.5286466
766,1,1,456.863085,51.2488239
767,1,0,133.144181,79.7647587
768,0,,,
769,0,,,
770,0,,,
771,0,,,
772,0,,,
773,1,1,87.2832122,98.8884217
774,1,1,111.022811,90.3714559
775,1,1,113.392282,204.62688
776,0,,,
777,1,1,87.7917498,68.2522397
778,1,0,92.1467391,139.255652
779,0,,,
780,1,0,112.243908,27.370421
781,0,,,
782,1,1,108.89131,72.2158571
783,0,,,
784,1,1,114.084583,78.8401217
785,0,,,
786,0,,,
787,0,,,
788,0,,,
789,1,1,105.810931,79.1060449
790,0,,,
791,0,,,
792,1,1,116.809813,91.3619715
793,1,0,46.2704774,68.0650627
794,1,1,171.241788,135.065852
795,0,,,
796,0,,,
797,0,,,
798,1,1,66.598715,111.742687
799,1,0,109.818818,74.6434693
800,0,,,
801,0,,,
802,0,,,
803,1,1,152.624839,29.4461632
804,1,0,156.99684,45.2692678
805,0,,,
806,0,,,
807,0,,,
808,0,,,
809,0,,,
810,0,,,
811,0,,,
812,0,,,
813,1,1,90.6785308,80.062355
814,1,0,116.374781,70.3112527
815,1,0,121.707666,88.0005319
816,0,,,
817,1,1,69.0835134,87.8804232
818,0,,,
819,1,1,154.923795,92.6772585
820,0,,,
821,0,,,
822,0,,,
823,0,,,
824,0,,,
825,1,1,117.138322,77.0734901
826,0,,,
827,0,,,
828,2,1,77.8368768,63.2108519
829,1,0,88.4810085,102.057335
830,0,,,
831,0,,,
832,2,0,105.642462,84.9051525
833,2,1,148.072026,119.830608
834,0,,,
835,1,0,128.407039,69.9448517
836,1,0,119.676539,61.9854717
837,1,0,78.8355068,86.1910476
838,2,0,107.298633,71.7824118
839,0,,,
840,0,,,
841,0,,,
842,1,0,74.7203712,85.4124982
843,1,1,71.4119644,50.2790317
844,0,,,
845,1,0,133.785505,69.1766205
846,1,1,114.315351,57.6170208
847,1,1,116.738412,80.2948248
848,1,1,120.97192,87.5896922
849,0,,,
850,0,,,
851,0,,,
852,1,0,109.552473,77.6198067
853,0,,,
854,0,,,
855,0,,,
856,1,0,103.193418,48.5875553
857,0,,,
858,0,,,
859,1,0,87.451215,84.1435283
860,0,,,
861,0,,,
862,0,,,
863,2,0,77.8800769,66.0353748
864,1,0,150.060718,70.9774874
865,2,1,108.942497,68.7485055
866,1,1,108.873361,40.797591
867,0,,,
868,0,,,
869,0,,,
870,0,,,
871,1,0,228.545124,165.742687
872,1,1,97.0677362,72.2144516
873,0,,,
874,1,1,77.5068224,80.1169653
875,1,0,121.793324,31.2725241
876,0,,,
877,0,,,
878,0,,,
879,0,,,
880,0,,,
881,0,,,
882,1,1,82.5856367,64.9719604
883,1,1,89.6117908,71.7823188
884,1,1,86.0722157,82.5384211
885,0,,,
886,0,,,
887,1,0,103.978033,114.399221
888,1,1,88.6835667,99.3304372
889,0,,,
890,1,0,106.372189,89.6883612
891,2,0,79.1543607,69.2804507
892,0,,,
893,0,,,
894,1,1,93.6961348,90.7590675
895,1,1,108.143764,77.5884057
896,1,0,74.3991974,78.5145551
897,0,,,
898,1,0,91.1748808,134.533278
899,0,,,
900,2,0,126.425954,79.218075
901,2,0,133.277021,76.7607887
902,0,,,
903,1,1,154.772402,50.9437022
904,1,1,79.6723102,49.0720843
905,0,,,
906,0,,,
907,1,0,76.9347446,113.46018
908,1,0,97.004614,69.429001
909,1,0,70.9020709,81.718624
910,0,,,
911,1,0,141.582564,61.1982182
912,1,1,122.524804,73.7894604
913,1,0,71.8211324,54.6939856
914,2,1,94.007456,88.3929165
915,0,,,
916,1,1,126.740745,84.6759056
917,0,,,
918,1,0,112.988204,58.505486
919,0,,,
920,1,1,169.525905,88.7182996
921,0,,,
922,0,,,
923,0,,,
924,1,0,93.4696172,78.6992365
925,2,1,71.3332048,100.926989
926,1,1,57.4342074,59.4199288
927,0,,,
928,0,,,
929,1,0,134.157376,211.905234
930,1,1,138.191718,80.2696534
931,1,1,79.3569498,48.7283945
932,0,,,
933,0,,,
934,1,1,97.2979322,92.7416417
935,1,1,111.348353,75.1497098
936,1,0,90.2260902,88.6558413
937,1,0,123.083298,104.556817
938,1,0,105.959719,78.5533031
939,1,1,120.425762,108.600383
940,1,0,249.147213,109.108831
941,1,0,112.974852,79.2231873
942,1,0,124.649109,86.0415999
943,0,,,
944,1,1,79.6418249,120.983781
945,0,,,
946,0,,,
947,1,0,83.4625837,145.857706
948,0,,,
949,0,,,
950,0,,,
951,1,0,80.1830475,58.9588646
952,0,,,
953,1,1,68.9335738,87.7734902
954,1,0,125.973756,59.2516983
955,1,1,77.1258521,68.6314409
956,0,,,
957,2,1,97.2642063,70.9166352
958,1,1,156.254444,114.230699
959,0,,,
960,1,0,101.67491,73.5353441
961,1,0,98.2337431,70.5267128
962,0,,,
963,0,,,
964,1,1,130.237328,68.8494289
965,0,,,
966,1,0,126.843307,74.2373752
967,1,0,148.071783,79.9053681
968,0,,,
969,0,,,
970,0,,,
971,1,0,103.1383,109.838267
972,1,0,108.334161,71.6209383
973,1,0,101.539678,76.7677772
974,1,1,99.4325763,74.509791
975,0,,,
976,0,,,
977,1,1,113.7086,47.7656269
978,0,,,
979,1,1,71.8292694,80.3776005
980,1,1,80.9184579,93.7046848
981,0,,,
982,0,,,
983,0,,,
984,0,,,
985,1,0,79.1234536,61.5400592
986,1,0,120.472169,71.1493784
987,1,0,114.059506,96.4606603
988,0,,,
989,1,0,89.6535254,79.4580443
990,0,,,
991,2,1,75.7286386,114.975622
992,1,1,53.1852652,64.0134554
993,0,,,
994,0,,,
995,0,,,
996,1,0,76.5900837,74.5742387
997,1,0,184.382123,123.641221
998,0,,,
999,0,,,
1000,0,,,
1001,1,1,86.5717631,48.222345
1002,0,,,
1003,1,1,130.801423,36.3389063
1004,0,,,
1005,1,0,120.75417,84.5240533
1006,0,,,
1007,2,0,83.1175056,169.849143
1008,0,,,
1009,1,1,131.645155,80.16543
1010,1,0,135.791479,65.0558012
1011,1,1,109.67611,73.1340712
1012,1,0,84.9886756,91.194942
1013,0,,,
1014,1,1,129.148797,78.7487798
1015,0,,,
1016,0,,,
1017,0,,,
1018,0,,,
1019,0,,,
1020,0,,,
1021,1,0,65.6910284,77.7638971
1022,1,0,76.7636554,88.2486398
1023,0,,,
1024,0,,,
1025,0,,,
1026,0,,,
1027,1,0,71.1691242,64.174587
1028,0,,,
1029,0,,,
1030,0,,,
1031,1,0,137.672731,98.8959057
1032,0,,,
1033,0,,,
1034,2,0,110.914606,71.3118973
1035,0,,,
1036,0,,,
1037,0,,,
1038,1,1,125.944133,76.4271155
1039,0,,,
1040,0,,,
1041,0,,,
1042,1,0,99.3608674,96.8826068
1043,0,,,
1044,1,0,76.6873128,65.5899393
1045,1,0,99.8891577,78.4015453
1046,1,0,169.530124,64.2061152
1047,0,,,
1048,2,0,138.996052,82.1500216
1049,0,,,
1050,1,1,99.3337722,99.5377758
1051,2,1,125.189861,73.0814045
1052,0,,,
1053,1,1,87.3789692,58.4921449
1054,1,0,80.4422881,64.9868667
1055,1,1,145.705161,50.4711902
1056,0,,,
1057,0,,,
1058,1,0,141.212281,74.4356505
1059,0,,,
1060,0,,,
1061,0,,,
1062,1,0,134.374466,71.1004107
1063,0,,,
1064,0,,,
1065,1,1,146.172293,48.5603439
1066,0,,,
1067,0,,,
1068,1,1,164.448068,73.386305
1069,0,,,
1070,0,,,
1071,1,0,87.2972695,107.805501
1072,1,0,96.4448514,86.0448855
1073,0,,,
1074,0,,,
1075,0,,,
1076,0,,,
1077,0,,,
1078,0,,,
1079,1,1,114.604338,64.7411456
1080,0,,,
1081,0,,,
1082,0,,,
1083,1,0,129.952386,96.5693288
1084,0,,,
1085,2,0,87.3654246,103.646616
1086,0,,,
1087,0,,,
1088,0,,,
1089,1,1,109.59451,86.029191
1090,1,1,75.9056088,122.882249
1091,1,1,81.149921,123.767879
1092,0,,,
1093,1,0,86.9509186,71.5856826
1094,0,,,
1095,0,,,
1096,1,1,51.2401093,80.3428638
1097,0,,,
1098,1,1,100.63058,107.621394
1099,2,0,101.074474,72.963582
1100,1,0,73.1741902,81.0156232
1101,1,0,112.0763,66.5786793
1102,0,,,
1103,0,,,
1104,0,,,
1105,1,1,80.4349714,84.4841233
1106,1,0,95.8666317,97.6857327
1107,0,,,
1108,0,,,
1109,0,,,
1110,0,,,
1111,0,,,
1112,0,,,
1113,0,,,
1114,1,0,66.538829,96.6216784
1115,1,1,76.5061195,84.583169
1116,1,0,123.78577,89.5613269
1117,0,,,
1118,1,1,91.5484569,72.8109456
1119,0,,,
1120,0,,,
1121,1,1,129.157898,58.0704515
1122,1,0,103.159669,61.9734377
1123,1,1,111.944138,66.4734195
1124,0,,,
1125,0,,,
1126,1,1,84.6293151,77.5009002
1127,0,,,
1128,1,1,110.521326,77.9441241
1129,1,1,139.685944,61.0862537
1130,0,,,
1131,1,0,111.238193,86.6188878
1132,1,1,79.8270539,83.950107
1133,1,0,132.998489,78.5586845
1134,1,1,73.8388669,91.4671739
1135,0,,,
1136,0,,,
1137,1,1,150.851393,83.1029565
1138,1,1,67.2890629,77.476695
1139,0,,,
1140,0,,,
1141,2,0,60.3377447,69.6619129
1142,0,,,
1143,0,,,
1144,0,,,
1145,1,1,90.4212522,74.3674182
1146,1,0,132.73205,80.4890427
1147,1,0,71.0847973,74.2791513
1148,0,,,
1149,0,,,
1150,0,,,
1151,0,,,
1152,1,1,131.098493,63.1935403
1153,0,,,
1154,0,,,
1155,0,,,
1156,0,,,
1157,0,,,
1158,1,1,103.744811,105.938285
1159,0,,,
1160,0,,,
1161,0,,,
1162,0,,,
1163,0,,,
1164,0,,,
1165,0,,,
1166,0,,,
1167,0,,,
1168,0,,,
1169,0,,,
1170,0,,,
1171,0,,,
1172,1,0,96.7435903,84.3474898
1173,1,1,103.285394,98.906818
1174,0,,,
1175,0,,,
1176,0,,,
1177,1,0,207.539551,140.689657
1178,0,,,
1179,0,,,
1180,1,0,197.59526,167.72586
1181,0,,,
1182,0,,,
1183,1,1,108.488437,90.7672401
1184,0,,,
1185,0,,,
1186,0,,,
1187,0,,,
1188,2,0,90.0682891,97.1059402
1189,0,,,
1190,1,0,129.10917,49.2814672
1191,0,,,
1192,0,,,
1193,1,1,91.2635028,72.9651839
1194,0,,,
1195,0,,,
1196,1,1,81.3102479,79.2629758
1197,0,,,
1198,0,,,
1199,0,,,
1200,1,1,145.189075,37.8718348
